species,Real_PR_Multi,Real_PR_Layer,StrengthIn,StrengthOut,DegreeIn,DegreeOut,Delta,Ratio,Plot
B2 CHFU,0.00807872016428785,0.02230658715386429,0.1,1,1,1,-0.014227866989576439,0.3621674668815633,4
B5 CHFU,0.02184659824506169,0.05208980869549584,0.7333333333333334,1,2,2,-0.03024321045043415,0.41940254326468174,4
Dilophus_sp. CHFU,0.03129185712848438,0.05321791209776989,1.738095238095238,1.6666666666666665,4,4,-0.021926054969285506,0.5879948290905549,4
B6 CHFU,0.013398335876130195,0.03738499558156576,0.43333333333333335,1,2,2,-0.023986659705435565,0.3583880556277719,4
C2 CHFU,0.020626350503819533,0.07381038986898836,0.9,1,2,2,-0.05318403936516883,0.2794505020286548,4
Diptera CHFU,0.030753995930224695,0.07574088634577068,2.3714285714285714,1.6666666666666665,3,3,-0.04498689041554599,0.4060421974708245,4
C5 CHFU,0.005914685362660698,0.020770687520886278,0.2,1,1,1,-0.01485600215822558,0.28476117397236356,4
D6 CHFU,0.00807872016428785,0.02230658715386429,0.1,1,1,1,-0.014227866989576439,0.3621674668815633,4
E5 CHFU,0.00807872016428785,0.022306587153864292,0.1,1,1,1,-0.014227866989576442,0.36216746688156326,4
F4 CHFU,0.009652380155498562,0.022453068554949815,0.2,1,1,1,-0.012800688399451253,0.4298913590307762,4
F5 CHFU,0.018699278262640263,0.05179684589332479,0.5333333333333333,1,2,2,-0.03309756763068453,0.36101190989797494,4
A1 LEMA,0.00934631208296807,0.018204765384099257,0.37681159420289856,1,2,2,-0.008858453301131186,0.5133992054152755,4
Odontomyia_sp. LEMA,0.014679172633533973,0.026925941772675457,1.1111111111111112,1,3,3,-0.012246769139141484,0.5451684014421531,4
Psilothrix_viridicoerulea LEMA,0.10245162256571151,0.16317266125909022,9.445238095238096,1.571428571428571,16,16,-0.06072103869337871,0.627872474317471,4
A2 LEMA,0.030792895213911584,0.06154715677169752,1.3685300207039337,1,4,4,-0.030754261557785934,0.5003138541092074,4
Meligethes_sp. LEMA,0.024192174401623794,0.04669044501367794,1.0373015873015872,0.9999999999999998,4,4,-0.022498270612054144,0.5181397263302312,4
Meligethes_sp. LEMA,0.024192174401623794,0.06976744186046513,1.0373015873015872,0.9999999999999998,4,4,-0.045575267458841336,0.34675449975660766,4
Nemotelus_sp. LEMA,0.0172137446007249,0.03036560199526188,1.6111111111111112,1,3,3,-0.013151857394536979,0.5668830344088308,4
B2 LEMA,0.013195134845890558,0.02949510140149072,0.39648033126293997,1,3,3,-0.016299966555600162,0.44736699380269496,4
