Year,Plot,Subplot,Plant,Seeds_GF,Fruit_GF,visits_GF,ID,homo_motif,hete_motif,Strength,StrengthIn,StrengthOut,Degree,DegreeIn,DegreeOut,PageRank,Hub,Authority,Katz,Multiplexity,Kcore
2020,4,A4,LEMA,58,1,0,None,0,0,1.02380952380952,0.0238095238095238,1,2,1,1,0.0592357559820628,1,0,0.999999999998097,0.5,2
2020,4,A5,LEMA,58,1,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,4,A6,LEMA,58,1,0,None,0,0,1.42380952380952,0.423809523809524,1,4,2,2,0.112756179003582,0.350448348380577,0,0.999999999998098,0.5,2
2020,4,B1,LEMA,64,2,2,Brassicogethes_sp.,8,0,1.04761904761905,0.0476190476190476,1,2,1,1,0.0790751980435794,1,0,0.999999999998097,0.5,2
2020,4,B2,LEMA,202,2,3,Brassicogethes_sp.,18,0,1.4047619047619,0.404761904761905,1,4,2,2,0.130013038725374,0.760445125909259,0,0.999999999998098,0.5,4
2020,4,B2,LEMA,202,2,1,Elateridae,2,0,1.4047619047619,0.404761904761905,1,4,2,2,0.130013038725374,0.760445125909259,0,0.999999999998098,0.5,4
2020,4,B3,CETE,1221,11,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,4,B3,CHFU,32,1,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,4,B3,LEMA,58,1,0,None,0,0,2,1,1,2,1,1,0.151019203362093,0,0,1,0.5,2
2020,4,B4,LEMA,58,1,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,4,B5,CETE,222,2,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,4,B5,LEMA,116,2,0,None,0,0,1.1031746031746,0.103174603174603,1,4,2,2,0.0993252796135834,0.74173025277281,0,0.999999999998097,0.5,4
2020,4,C1,LEMA,552,8,3,Brassicogethes_sp.,10,0,1.4047619047619,0.404761904761905,1,4,2,2,0.130013038725377,0.760445125909259,0,0.999999999998098,0.5,4
2020,4,C1,LEMA,552,8,1,Elateridae,2,0,1.4047619047619,0.404761904761905,1,4,2,2,0.130013038725377,0.760445125909259,0,0.999999999998098,0.5,4
2020,4,C2,LEMA,58,1,0,None,0,0,1.16666666666667,0.166666666666667,1,2,1,1,0.100146558630554,0.225190758318429,0,0.999999999998098,0.5,2
2020,4,C3,LEMA,174,3,0,None,0,0,2.33333333333333,1.33333333333333,1,6,3,3,0.272361472424971,0.698350705662039,0,0.999999999998098,0.5,4
2020,4,C4,LEMA,116,2,0,None,0,0,1.12698412698413,0.126984126984127,1,4,2,2,0.119164721675101,0.806297689579607,0,0.999999999998098,0.5,4
2020,4,C5,LEMA,58,1,0,None,0,0,1.1031746031746,0.103174603174603,1,4,2,2,0.0993252796135812,0.74173025277281,0,0.999999999998097,0.5,4
2020,4,D1,CETE,666,6,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,4,D1,LEMA,252,6,1,Big_bee_2_8_7,1,0,1.65079365079365,0.650793650793651,1,6,3,3,0.172957041131865,0.706163117698843,0,0.999999999998097,0.5,4
2020,4,D1,LEMA,252,6,4,Brassicogethes_sp.,18,0,1.65079365079365,0.650793650793651,1,6,3,3,0.172957041131865,0.706163117698843,0,0.999999999998097,0.5,4
2020,4,D1,LEMA,252,6,1,Psilothrix_viridicoerulea,9,0,1.65079365079365,0.650793650793651,1,6,3,3,0.172957041131865,0.706163117698843,0,0.999999999998097,0.5,4
2020,4,D2,LEMA,58,1,0,None,0,0,2.5,1.5,1,4,2,2,0.155507419542339,0.00411017309795004,0,0.999999999998097,0.5,2
2020,4,D3,LEMA,36,2,1,Ulidiidae,0,0,2,1,1,2,1,1,0.151019203362093,0,0,1,0.5,2
2020,4,D4,LEMA,58,1,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,4,D5,LEMA,58,1,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,4,E1,CETE,1276.5,11.5,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,4,E1,CHFU,32,1,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,4,E1,LEMA,264,2,1,Brassicogethes_sp.,10,0,1.85714285714286,0.857142857142857,1,6,3,3,0.170185311213012,0.286611602699522,0,0.999999999998098,0.5,4
2020,4,E1,LEMA,264,2,2,Oedemeridae,1,0,1.85714285714286,0.857142857142857,1,6,3,3,0.170185311213012,0.286611602699522,0,0.999999999998098,0.5,4
2020,4,E1,LEMA,264,2,3,Psilothrix_viridicoerulea,11,0,1.85714285714286,0.857142857142857,1,6,3,3,0.170185311213012,0.286611602699522,0,0.999999999998098,0.5,4
2020,4,E2,LEMA,342,9,1,Psilothrix_viridicoerulea,9,0,1.05555555555556,0.0555555555555556,1,2,1,1,0.059646395490549,0.225190758318429,0,0.999999999998098,0.5,2
2020,4,E3,CHFU,192,6,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,4,E3,LEMA,174,3,0,None,0,0,1.33333333333333,0.333333333333333,1,2,1,1,0.0704947125408251,0.0417805036370345,0,0.999999999998097,0.5,2
2020,4,E4,LEMA,174,3,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,4,E5,LEMA,185,5,5,Brassicogethes_sp.,10,0,1.17460317460317,0.174603174603175,1,4,2,2,0.158843605798132,0.870865126386405,0,0.999999999998097,0.5,4
2020,4,E5,LEMA,185,5,1,Psilothrix_viridicoerulea,9,0,1.17460317460317,0.174603174603175,1,4,2,2,0.158843605798132,0.870865126386405,0,0.999999999998097,0.5,4
2020,4,E6,LEMA,58,1,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,4,F1,LEMA,462,7,2,Psilothrix_viridicoerulea,9,0,1.11111111111111,0.111111111111111,1,2,1,1,0.0798964770605534,0.225190758318429,0,0.999999999998098,0.5,2
2020,4,F3,LEMA,58,1,0,None,0,0,1.07936507936508,0.0793650793650794,1,4,2,2,0.0794858375520668,0.612595379159214,0,0.999999999998098,0.5,4
2020,4,F4,LEMA,406,7,0,None,0,0,1.07142857142857,0.0714285714285714,1,2,1,1,0.0989146401050958,1,0,0.999999999998097,0.5,2
2020,4,F4,PUPA,276,12,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,4,F5,LEMA,58,1,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,4,F6,CHFU,48,1.5,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,4,F6,LEMA,290,5,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,5,A1,LEMA,58,1,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,5,A4,CETE,555,5,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,5,A5,LEMA,522,9,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,5,A5,PUPA,161,7,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,5,A6,CHFU,32,1,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,5,A6,LEMA,406,7,0,None,0,0,1.20833333333333,0.208333333333333,1,2,1,1,0.167178487910046,0.492592191824093,0,0.999999999991601,0.5,2
2020,5,A6,PUPA,90,9,2,Small bee 1_8_6,0,0,2,1,1,2,1,1,0.196241800777884,0,0,1,0.5,2
2020,5,B1,LEMA,58,1,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,5,B2,CHFU,32,1,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,5,B2,LEMA,116,2,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,5,B3,LEMA,58,1,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,5,B3,PUPA,115,5,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,5,B4,CETE,777,7,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,5,B4,LEMA,116,2,0,None,0,0,1.04166666666667,0.0416666666666667,1,2,1,1,0.0743905081791329,0.492592191824093,0,0.999999999991601,0.5,2
2020,5,B4,PUPA,92,4,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,5,B5,LEMA,58,1,0,None,0,0,2.10833333333333,1.10833333333333,1,6,3,3,0.165281343704987,0.500281041579183,0,0.999999999991601,0.5,4
2020,5,B6,CETE,222,2,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,5,B6,CHFU,32,1,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,5,B6,LEMA,58,1,0,None,0,0,1.04166666666667,0.0416666666666667,1,2,1,1,0.0743905081791328,0.492592191824093,0,0.999999999991601,0.5,2
