Real_PR_Multi,Plot,Label,Plant_Simple,Real_PR_Layer,Delta,Ratio
0.00891742168743281,3,D5 LEMA,LEMA,0.004594180704441039,0.004323240982991771,1.9410254539645426
0.006933847885815715,3,D5 PUPA,PUPA,NA,NA,NA
0.007768545125502201,3,D6 LEMA,LEMA,0.004594180704441039,0.0031743644210611615,1.6909533223176465
0.011287735423947285,3,E1 LEMA,LEMA,0.004594180704441039,0.006693554719506246,2.4569637439458605
0.00696976037197364,3,E1 PUPA,PUPA,NA,NA,NA
0.009992788832335935,3,E2 LEMA,LEMA,0.004594180704441039,0.005398608127894896,2.1750970358384563
0.0071641662875492375,3,E2 PUPA,PUPA,NA,NA,NA
0.006896411616656568,3,E3 LEMA,LEMA,0.004594180704441039,0.0023022309122155285,1.5011189285589137
0.011902661357992178,3,E4 CHFU,CHFU,0.008645533141210375,0.0032571282167818023,1.3767411637410951
0.006861417655376505,3,E4 LEMA,LEMA,0.004594180704441039,0.0022672369509354655,1.49350190965362
0.006103838536176323,3,E5 LEMA,LEMA,0.004594180704441039,0.0015096578317352841,1.328602188041047
0.006804955913553386,3,E6 LEMA,LEMA,0.004594180704441039,0.002210775209112347,1.4812120705167877
0.008212311381719113,3,F1 LEMA,LEMA,0.004594180704441039,0.0036181306772780737,1.7875464440875277
0.007414030362288959,3,F1 PUPA,PUPA,NA,NA,NA
0.009748096089092198,3,F2 CHFU,CHFU,0.008645533141210375,0.001102562947881823,1.1275297809716642
0.00928674013946408,3,F2 LEMA,LEMA,0.004594180704441039,0.004692559435023042,2.0214137703566823
0.011596903778147167,3,F3 LEMA,LEMA,0.004594180704441039,0.007002723073706128,2.524259389043368
0.009638914608965175,3,F4 CHFU,CHFU,0.008645533141210375,9.933814677548e-4,1.1149011231036385
0.010090979796202737,3,F4 LEMA,LEMA,0.004594180704441039,0.005496799091761698,2.1964699356401303
0.006117577066948679,3,F4 PUPA,PUPA,NA,NA,NA
0.007688984697137723,3,F5 LEMA,LEMA,0.004594180704441039,0.0030948039926966837,1.6736356690769785
0.007109799501564718,3,F6 CHFU,CHFU,0.008645533141210375,-0.0015357336396456577,0.8223668090143189
0.009268136131626584,3,F6 CHMI,CHMI,NA,NA,NA
0.009697917656620729,3,F6 LEMA,LEMA,0.004594180704441039,0.0051037369521796895,2.1109134099244464
0.00805041256720778,3,F6 PUPA,PUPA,NA,NA,NA
0.010322102415021631,4,A1 LEMA,LEMA,0.02027027027027027,-0.00994816785524864,0.5092237191410671
0.020854257672027688,4,A2 LEMA,LEMA,0.02027027027027027,5.839874017574166e-4,1.028810045153366
0.010322102415021631,4,A4 LEMA,LEMA,0.02027027027027027,-0.00994816785524864,0.5092237191410671
0.026315789473684875,4,A4 PUPA,PUPA,NA,NA,NA
