Plot,Subplot,Plant_Simple,Seeds_GF,Fruit_GF,visits_GF,ID,homo_motif,hete_motif,ME_iden,Strength,StrengthIn,StrengthOut,Degree,DegreeIn,DegreeOut,PageRank,Hub,Authority,Katz,Multiplexity,Kcore,individuals,individuals_plot,total_individuals_subplot,total_individuals_plot,prop_individuals_sub,prop_individuals_plot,prop_indiviudals_sub,prop_indiviudals_plot
3,D6,LEMA,64,1,3,Flower_beetles,9,0,0,1.35209235209235,0.352092352092352,1,4,2,2,0.0823086249207235,0.628576139417599,0,0.188883112535777,0.333333333333333,4,25,539,433,14234,0.05787037037037037,0.0378697393381578,0.057736720554272515,0.001756358016017985
3,D6,LEMA,64,1,1,Flower_beetles,6,2,0,1.35209235209235,0.352092352092352,1,4,2,2,0.0823086249207235,0.628576139417599,0,0.188883112535777,0.333333333333333,4,25,539,433,14234,0.05787037037037037,0.0378697393381578,0.057736720554272515,0.001756358016017985
3,E1,CHFU,76,1,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,103,417,14234,0.009592326139088728,0.007236703435677651,0.009592326139088728,2.810172825628776e-4
3,E1,LEMA,64,1,1,Flower_beetles,5,0,0,1.26190476190476,0.261904761904762,1,4,2,2,0.0717599503139363,0.836954080343591,0,0.232948331283029,0.333333333333333,4,3,539,417,14234,0.007194244604316547,0.0378697393381578,0.007194244604316547,2.1076296192215822e-4
3,E1,LEMA,64,1,2,Flower_beetles,18,0,0,1.26190476190476,0.261904761904762,1,4,2,2,0.0717599503139363,0.836954080343591,0,0.232948331283029,0.333333333333333,4,3,539,417,14234,0.007194244604316547,0.0378697393381578,0.007194244604316547,2.1076296192215822e-4
3,E1,LEMA,64,1,1,Small_beetles,4,0,0,1.26190476190476,0.261904761904762,1,4,2,2,0.0717599503139363,0.836954080343591,0,0.232948331283029,0.333333333333333,4,3,539,417,14234,0.007194244604316547,0.0378697393381578,0.007194244604316547,2.1076296192215822e-4
3,E1,LEMA,64,1,1,Flower_beetles,9,0,0,1.26190476190476,0.261904761904762,1,4,2,2,0.0717599503139363,0.836954080343591,0,0.232948331283029,0.333333333333333,4,3,539,417,14234,0.007194244604316547,0.0378697393381578,0.007194244604316547,2.1076296192215822e-4
3,E1,LEMA,64,1,2,Flower_beetles,6,2,0,1.26190476190476,0.261904761904762,1,4,2,2,0.0717599503139363,0.836954080343591,0,0.232948331283029,0.333333333333333,4,3,539,417,14234,0.007194244604316547,0.0378697393381578,0.007194244604316547,2.1076296192215822e-4
3,E2,CHFU,76,1,1,Small_flies,0,0,0,2,1,1,2,1,1,0.0970166460998883,0,0,1.91171888623737e-5,0.333333333333333,2,1,103,438,14234,0.00228310502283105,0.007236703435677651,0.00228310502283105,7.02543206407194e-5
3,E2,LEMA,64,1,1,Flower_beetles,5,0,0,1.07936507936508,0.0793650793650794,1,2,1,1,0.0582846349361601,0.967932277926281,0,0.258043974853247,0.333333333333333,2,17,539,438,14234,0.03881278538812785,0.0378697393381578,0.03881278538812785,0.00119432345089223
3,E2,LEMA,64,1,1,Flower_beetles,9,0,0,1.07936507936508,0.0793650793650794,1,2,1,1,0.0582846349361601,0.967932277926281,0,0.258043974853247,0.333333333333333,2,17,539,438,14234,0.03881278538812785,0.0378697393381578,0.03881278538812785,0.00119432345089223
3,E2,LEMA,64,1,3,Flower_beetles,6,2,0,1.07936507936508,0.0793650793650794,1,2,1,1,0.0582846349361601,0.967932277926281,0,0.258043974853247,0.333333333333333,2,17,539,438,14234,0.03881278538812785,0.0378697393381578,0.03881278538812785,0.00119432345089223
3,E3,CHFU,76,1,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,103,467,14234,0.004291845493562232,0.007236703435677651,0.004282655246252677,1.405086412814388e-4
3,E3,LEMA,128,2,1,Small_beetles,4,0,0,1.25757575757576,0.257575757575758,1,4,2,2,0.0501256072786728,0.0570337350419545,0,0.0779947392675241,0.333333333333333,4,14,539,467,14234,0.030042918454935622,0.0378697393381578,0.029978586723768737,9.835604889700718e-4
3,E3,LEMA,128,2,1,Hoverflies,1,0,0,1.25757575757576,0.257575757575758,1,4,2,2,0.0501256072786728,0.0570337350419545,0,0.0779947392675241,0.333333333333333,4,14,539,467,14234,0.030042918454935622,0.0378697393381578,0.029978586723768737,9.835604889700718e-4
3,E4,CHFU,76,1,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,103,472,14234,0.0021231422505307855,0.007236703435677651,0.00211864406779661,7.02543206407194e-5
3,E4,LEMA,128,2,1,Small_flies,4,0,0,2.14285714285714,1.14285714285714,1,4,2,2,0.111372817040945,0.0192384255133976,0,0.282296384321706,0.333333333333333,2,20,539,472,14234,0.04246284501061571,0.0378697393381578,0.0423728813559322,0.001405086412814388
3,E4,LEMA,128,2,1,Flies,0,4,0,2.14285714285714,1.14285714285714,1,4,2,2,0.111372817040945,0.0192384255133976,0,0.282296384321706,0.333333333333333,2,20,539,472,14234,0.04246284501061571,0.0378697393381578,0.0423728813559322,0.001405086412814388
3,E5,CHFU,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,103,518,14234,0,0.007236703435677651,0.0019305019305019305,7.02543206407194e-5
3,E5,LEMA,128,2,1,Flower_beetles,18,0,0,1.03174603174603,0.0317460317460317,1,2,1,1,0.0434634650875938,0.967932277926281,0,0.258043974853247,0.333333333333333,2,25,539,518,14234,0.048355899419729204,0.0378697393381578,0.04826254826254826,0.001756358016017985
3,E5,LEMA,128,2,1,Flower_beetles,9,0,0,1.03174603174603,0.0317460317460317,1,2,1,1,0.0434634650875938,0.967932277926281,0,0.258043974853247,0.333333333333333,2,25,539,518,14234,0.048355899419729204,0.0378697393381578,0.04826254826254826,0.001756358016017985
3,E6,CHFU,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,103,479,14234,0,0.007236703435677651,0.0020876826722338203,7.02543206407194e-5
3,E6,LEMA,128,2,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,539,479,14234,0.05230125523012552,0.0378697393381578,0.05219206680584551,0.001756358016017985
3,F1,CHFU,76,1,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,103,504,14234,0.003968253968253968,0.007236703435677651,0.003968253968253968,1.405086412814388e-4
3,F1,LEMA,128,2,1,Hoverflies,6,0,0,1.32106782106782,0.321067821067821,1,6,3,3,0.0698871670765101,0.664299430298172,0,0.198027562991339,0.333333333333333,4,12,539,504,14234,0.023809523809523808,0.0378697393381578,0.023809523809523808,8.430518476886329e-4
3,F1,LEMA,128,2,2,Flower_beetles,18,0,0,1.32106782106782,0.321067821067821,1,6,3,3,0.0698871670765101,0.664299430298172,0,0.198027562991339,0.333333333333333,4,12,539,504,14234,0.023809523809523808,0.0378697393381578,0.023809523809523808,8.430518476886329e-4
3,F1,LEMA,128,2,1,Small_beetles,4,0,0,1.32106782106782,0.321067821067821,1,6,3,3,0.0698871670765101,0.664299430298172,0,0.198027562991339,0.333333333333333,4,12,539,504,14234,0.023809523809523808,0.0378697393381578,0.023809523809523808,8.430518476886329e-4
3,F1,LEMA,128,2,2,Flower_beetles,6,2,0,1.32106782106782,0.321067821067821,1,6,3,3,0.0698871670765101,0.664299430298172,0,0.198027562991339,0.333333333333333,4,12,539,504,14234,0.023809523809523808,0.0378697393381578,0.023809523809523808,8.430518476886329e-4
