name,Plot,consp_prob,heter_prob,type,layer,number_plant_nodes_with_visits
ind_3 plant_sp_4,1_200_intralinks5_interlinks50_individuals,0.0012836127513321971,0.005847569180682359,plant,plant_sp_4,50
ind_3 plant_sp_5,1_200_intralinks5_interlinks50_individuals,0.0017333427766538672,0.0069333710825143415,plant,plant_sp_5,50
ind_4 plant_sp_1,1_200_intralinks5_interlinks50_individuals,0.0019460805642568047,0.006899740197441992,plant,plant_sp_1,50
ind_4 plant_sp_2,1_200_intralinks5_interlinks50_individuals,0.0035765101355948207,0.011325615454782934,plant,plant_sp_2,50
ind_4 plant_sp_3,1_200_intralinks5_interlinks50_individuals,0.0019074420555148933,0.010014070811772368,plant,plant_sp_3,50
ind_4 plant_sp_4,1_200_intralinks5_interlinks50_individuals,9.790283668201106e-4,0.004460018100388485,plant,plant_sp_4,50
ind_4 plant_sp_5,1_200_intralinks5_interlinks50_individuals,0.001664009065587712,0.006656036239213769,plant,plant_sp_5,50
ind_5 plant_sp_1,1_200_intralinks5_interlinks50_individuals,0.0020605558915660275,0.007305607267879757,plant,plant_sp_1,50
ind_5 plant_sp_2,1_200_intralinks5_interlinks50_individuals,0.002888719724903508,0.00914761248270929,plant,plant_sp_2,50
ind_5 plant_sp_3,1_200_intralinks5_interlinks50_individuals,0.001709826995843907,0.008976591746394572,plant,plant_sp_3,50
ind_5 plant_sp_4,1_200_intralinks5_interlinks50_individuals,0.0011377568496902899,0.005183114519900384,plant,plant_sp_4,50
ind_5 plant_sp_5,1_200_intralinks5_interlinks50_individuals,0.0011093393770584747,0.0044373574928091766,plant,plant_sp_5,50
ind_6 plant_sp_1,1_200_intralinks5_interlinks50_individuals,0.0021750312188752513,0.007711474338317521,plant,plant_sp_1,50
ind_6 plant_sp_2,1_200_intralinks5_interlinks50_individuals,0.002476045478488721,0.007840810699465106,plant,plant_sp_2,50
ind_6 plant_sp_3,1_200_intralinks5_interlinks50_individuals,0.0019775072692822812,0.010381913184797524,plant,plant_sp_3,50
ind_6 plant_sp_4,1_200_intralinks5_interlinks50_individuals,0.0012545855746090382,0.005715334264947532,plant,plant_sp_4,50
ind_6 plant_sp_5,1_200_intralinks5_interlinks50_individuals,0.0015946753545215576,0.006378701395913194,plant,plant_sp_5,50
ind_7 plant_sp_1,1_200_intralinks5_interlinks50_individuals,0.002403981873493701,0.008523208479193052,plant,plant_sp_1,50
ind_7 plant_sp_2,1_200_intralinks5_interlinks50_individuals,0.0026136035606269827,0.008276411293879833,plant,plant_sp_2,50
ind_7 plant_sp_3,1_200_intralinks5_interlinks50_individuals,0.0014059907090196411,0.0073814512373305404,plant,plant_sp_3,50
ind_7 plant_sp_4,1_200_intralinks5_interlinks50_individuals,0.0011570117183742456,0.005270831143607595,plant,plant_sp_4,50
ind_7 plant_sp_5,1_200_intralinks5_interlinks50_individuals,0.001664009065587712,0.0066560362392137674,plant,plant_sp_5,50
ind_8 plant_sp_1,1_200_intralinks5_interlinks50_individuals,0.0019460805642568047,0.006899740197441992,plant,plant_sp_1,50
ind_8 plant_sp_2,1_200_intralinks5_interlinks50_individuals,0.002888719724903508,0.009147612482709294,plant,plant_sp_2,50
ind_8 plant_sp_3,1_200_intralinks5_interlinks50_individuals,0.0018906508947186113,0.009925917217413014,plant,plant_sp_3,50
ind_8 plant_sp_4,1_200_intralinks5_interlinks50_individuals,0.0011844611790813404,0.005395878686404729,plant,plant_sp_4,50
ind_8 plant_sp_5,1_200_intralinks5_interlinks50_individuals,0.0014560079323892477,0.005824031709312048,plant,plant_sp_5,50
ind_9 plant_sp_1,1_200_intralinks5_interlinks50_individuals,0.002518457200802925,0.008929075549630815,plant,plant_sp_1,50
ind_9 plant_sp_2,1_200_intralinks5_interlinks50_individuals,0.0020633712320739348,0.006534008916220923,plant,plant_sp_2,50
ind_9 plant_sp_4,1_200_intralinks5_interlinks50_individuals,9.099465244571302e-4,0.004145311930691067,plant,plant_sp_4,50
ind_9 plant_sp_5,1_200_intralinks5_interlinks50_individuals,0.0018026764877200209,0.007210705925814914,plant,plant_sp_5,50
ind_1 plant_sp_1,1_200_intralinks50_interlinks50_individuals,0.0010401482140075427,0.0041605928560301715,plant,plant_sp_1,50
