species,Real_PR_Multi,Real_PR_Layer,StrengthIn,StrengthOut,DegreeIn,DegreeOut,Delta,Ratio,Plot
ind_5 plant_sp_4,0.01034204885100105,0.015437560124771118,1.0481792717086833,1,3,3,-0.005095511273770068,0.6699276807613006,1_125_intralinks30_interlinks40_individuals
ind_5 plant_sp_5,0.008470159888228503,0.011902956109107117,0.6904761904761905,1,2,2,-0.003432796220878614,0.7116013711709703,1_125_intralinks30_interlinks40_individuals
ind_6 plant_sp_1,0.009061672384022841,0.013599129372739823,1.1054249902075988,1,5,5,-0.004537456988716982,0.6663420970306706,1_125_intralinks30_interlinks40_individuals
pol_sp_8 plant_sp_1,0.015801225967183127,0.0061884713739633656,2.8998378176746296,3.1142857142857143,5,5,0.009612754593219763,2.5533326426398797,1_125_intralinks30_interlinks40_individuals
ind_6 plant_sp_2,0.008848736210262498,0.013633275840451287,0.8216374269005848,1,5,5,-0.004784539630188789,0.6490542928800294,1_125_intralinks30_interlinks40_individuals
ind_6 plant_sp_3,0.006713368316549349,0.01359797267498979,0.9529569892473118,1,3,3,-0.00688460435844044,0.49370361869435,1_125_intralinks30_interlinks40_individuals
ind_6 plant_sp_4,0.006441044358999313,0.01039866827154421,0.4847745549832836,1,3,3,-0.003957623912544898,0.6194105043840208,1_125_intralinks30_interlinks40_individuals
ind_6 plant_sp_5,0.00569131200428546,0.009769838461397524,0.37142857142857144,1,1,1,-0.004078526457112064,0.5825390078631195,1_125_intralinks30_interlinks40_individuals
ind_7 plant_sp_1,0.006725306381824012,0.010199776327519174,0.5129651390520956,1,4,4,-0.003474469945695162,0.6593582217758068,1_125_intralinks30_interlinks40_individuals
ind_7 plant_sp_2,0.008351204737415893,0.013684968459317303,0.8402028040185935,1,5,5,-0.00533376372190141,0.6102465462191139,1_125_intralinks30_interlinks40_individuals
ind_7 plant_sp_3,0.004986842344889848,0.009968838033560308,0.4504608294930875,1,3,3,-0.00498199568867046,0.5002430903282343,1_125_intralinks30_interlinks40_individuals
ind_7 plant_sp_4,0.009113208323956824,0.015397286969260562,1.2190476190476192,1,3,3,-0.006284078645303738,0.5918710446944717,1_125_intralinks30_interlinks40_individuals
ind_7 plant_sp_5,0.00897043206748046,0.013038160506497774,0.9365079365079365,1,4,4,-0.0040677284390173134,0.6880136245454184,1_125_intralinks30_interlinks40_individuals
pol_sp_10 plant_sp_5,0.021163049116967696,0.009926800589887146,3.3268772893772893,3.1515151515151514,5,5,0.01123624852708055,2.1319103698453854,1_125_intralinks30_interlinks40_individuals
ind_8 plant_sp_1,0.008438216661084783,0.013708931886393237,0.8819689254471863,1,4,4,-0.005270715225308455,0.6155269229589003,1_125_intralinks30_interlinks40_individuals
ind_8 plant_sp_4,0.007930138236980475,0.01072567781594025,0.5857052498418722,1,3,3,-0.0027955395789597756,0.7393601013443541,1_125_intralinks30_interlinks40_individuals
ind_8 plant_sp_5,0.006117165543239715,0.008074590422344307,0.5714285714285714,1,2,2,-0.0019574248791045913,0.7575821463726591,1_125_intralinks30_interlinks40_individuals
ind_9 plant_sp_5,0.007897554775776357,0.012681238349786022,0.6428571428571429,1,2,2,-0.004783683574009665,0.6227747289293413,1_125_intralinks30_interlinks40_individuals
ind_1 plant_sp_1,0.008335058380958462,0.01165725272260902,0.7291666666666667,1,2,2,-0.0033221943416505573,0.7150105242886924,1_125_intralinks30_interlinks50_individuals
pol_sp_6 plant_sp_1,0.02149021410257264,0.013129896595696033,3.4163170163170165,2.8571428571428568,5,5,0.008360317506876606,1.6367390212057809,1_125_intralinks30_interlinks50_individuals
pol_sp_8 plant_sp_1,0.02684211463895964,0.01966724671812854,3.3903710890128544,1.8285714285714287,5,5,0.0071748679208311,1.3648130327371941,1_125_intralinks30_interlinks50_individuals
ind_1 plant_sp_2,0.01006748544635118,0.016645463492410053,1.1510822510822512,1,3,3,-0.006577978046058874,0.6048185711945913,1_125_intralinks30_interlinks50_individuals
pol_sp_1 plant_sp_2,0.015616662021779217,0.01079991529688955,2.6405331510594667,2.7096774193548385,5,5,0.004816746724889668,1.4459985650329057,1_125_intralinks30_interlinks50_individuals
pol_sp_2 plant_sp_2,0.025294466102344242,0.018600980272756723,3.321415426678584,2.516129032258065,8,8,0.006693485829587519,1.3598458646499882,1_125_intralinks30_interlinks50_individuals
pol_sp_8 plant_sp_2,0.0290651638746229,0.02550670970671361,3.2875408217513478,1.935483870967742,10,10,0.0035584541679092897,1.1395105134619803,1_125_intralinks30_interlinks50_individuals
ind_1 plant_sp_3,0.007091190992708196,0.011080868130804297,0.8954545454545454,1,2,2,-0.003989677138096101,0.639949046320208,1_125_intralinks30_interlinks50_individuals
pol_sp_2 plant_sp_3,0.02187974439959784,0.015355254752778692,2.9704542769058904,2.8461538461538463,6,6,0.006524489646819148,1.4249027288614977,1_125_intralinks30_interlinks50_individuals
pol_sp_3 plant_sp_3,0.023861354792057088,0.009951647511963122,3.258466264917878,3.807692307692308,5,5,0.013909707280093966,2.397729095948461,1_125_intralinks30_interlinks50_individuals
ind_1 plant_sp_4,0.008753666807546388,0.015202439541578239,1.3376623376623376,1,2,2,-0.006448772734031851,0.5758067173104263,1_125_intralinks30_interlinks50_individuals
pol_sp_1 plant_sp_4,0.01344557980239031,0.009515138718055068,2.0719379092893524,2.533333333333333,4,4,0.003930441084335242,1.4130723892524228,1_125_intralinks30_interlinks50_individuals
