Plot,L,m
79_200_intralinks20_interlinks100_individuals,4.020979999999999,22
79_200_intralinks20_interlinks27_individuals,4.233760000000001,5
79_200_intralinks20_interlinks50_individuals,4.111579999999999,7
8_200_intralinks20_interlinks100_individuals,4.1500699999999995,14
8_200_intralinks20_interlinks27_individuals,4.273070000000001,4
8_200_intralinks20_interlinks50_individuals,4.28256,8
80_200_intralinks20_interlinks100_individuals,4.16036,17
80_200_intralinks20_interlinks27_individuals,4.482670000000001,5
80_200_intralinks20_interlinks50_individuals,4.20659,10
81_200_intralinks20_interlinks100_individuals,4.02828,21
81_200_intralinks20_interlinks27_individuals,4.94499,9
81_200_intralinks20_interlinks50_individuals,4.42952,11
82_200_intralinks20_interlinks100_individuals,4.0276499999999995,17
82_200_intralinks20_interlinks27_individuals,4.87428,8
82_200_intralinks20_interlinks50_individuals,4.32724,10
83_200_intralinks20_interlinks100_individuals,4.17308,15
83_200_intralinks20_interlinks27_individuals,4.39827,7
83_200_intralinks20_interlinks50_individuals,4.89971,13
84_200_intralinks20_interlinks100_individuals,4.10138,18
84_200_intralinks20_interlinks27_individuals,4.77388,8
84_200_intralinks20_interlinks50_individuals,4.58794,10
85_200_intralinks20_interlinks100_individuals,4.03242,18
85_200_intralinks20_interlinks27_individuals,4.448340000000001,9
85_200_intralinks20_interlinks50_individuals,4.37065,13
86_200_intralinks20_interlinks100_individuals,4.04917,23
86_200_intralinks20_interlinks27_individuals,4.79808,9
86_200_intralinks20_interlinks50_individuals,4.6769,12
87_200_intralinks20_interlinks100_individuals,4.05234,18
87_200_intralinks20_interlinks27_individuals,4.29231,5
87_200_intralinks20_interlinks50_individuals,4.08319,7
88_200_intralinks20_interlinks100_individuals,3.9389999999999996,19
88_200_intralinks20_interlinks27_individuals,4.631240000000001,8
88_200_intralinks20_interlinks50_individuals,4.24693,8
89_200_intralinks20_interlinks100_individuals,4.1076999999999995,14
89_200_intralinks20_interlinks27_individuals,4.2154799999999994,5
89_200_intralinks20_interlinks50_individuals,4.07809,7
9_200_intralinks20_interlinks100_individuals,4.03547,14
9_200_intralinks20_interlinks27_individuals,4.67739,9
9_200_intralinks20_interlinks50_individuals,4.142589999999999,7
90_200_intralinks20_interlinks100_individuals,3.9717499999999997,18
90_200_intralinks20_interlinks27_individuals,5.04638,8
90_200_intralinks20_interlinks50_individuals,4.75424,11
91_200_intralinks20_interlinks100_individuals,4.03774,19
91_200_intralinks20_interlinks27_individuals,4.665839999999999,8
91_200_intralinks20_interlinks50_individuals,4.91661,10
92_200_intralinks20_interlinks100_individuals,4.01739,18
92_200_intralinks20_interlinks27_individuals,4.352179999999999,7
92_200_intralinks20_interlinks50_individuals,4.332509999999999,9
93_200_intralinks20_interlinks100_individuals,4.05384,14
93_200_intralinks20_interlinks27_individuals,4.66025,9
93_200_intralinks20_interlinks50_individuals,4.894449999999999,10
94_200_intralinks20_interlinks100_individuals,4.0414900000000005,18
94_200_intralinks20_interlinks27_individuals,4.25175,6
94_200_intralinks20_interlinks50_individuals,4.2224699999999995,8
95_200_intralinks20_interlinks100_individuals,4.04114,15
