"","Bees","Butterflies","Flower_beetles","House_flies","Hoverflies","Humbleflies","Small_beetles","Small_flies"
"D4 PUPA 35",0,0,0,0,0,0.0857142857142857,0,0
"D4 PUPA 4",0,0,0,0,0,0.0857142857142857,0,0
"D4 PUPA 5",0,0,0,0,0,0.0857142857142857,0,0
"D4 PUPA 6",0,0,0,0,0,0.0857142857142857,0,0
"D4 PUPA 7",0,0,0,0,0,0.0857142857142857,0,0
"D4 PUPA 8",0,0,0,0,0,0.0857142857142857,0,0
"D4 PUPA 9",0,0,0,0,0,0.0857142857142857,0,0
"D5 PUPA 1",0.04,0,0,0,0,0.08,0,0
"D5 PUPA 10",0.04,0,0,0,0,0.08,0,0
"D5 PUPA 11",0.04,0,0,0,0,0.08,0,0
"D5 PUPA 12",0.04,0,0,0,0,0.08,0,0
"D5 PUPA 13",0.04,0,0,0,0,0.08,0,0
"D5 PUPA 14",0.04,0,0,0,0,0.08,0,0
"D5 PUPA 15",0.04,0,0,0,0,0.08,0,0
"D5 PUPA 16",0.04,0,0,0,0,0.08,0,0
"D5 PUPA 17",0.04,0,0,0,0,0.08,0,0
"D5 PUPA 18",0.04,0,0,0,0,0.08,0,0
"D5 PUPA 19",0.04,0,0,0,0,0.08,0,0
"D5 PUPA 2",0.04,0,0,0,0,0.08,0,0
"D5 PUPA 20",0.04,0,0,0,0,0.08,0,0
"D5 PUPA 21",0.04,0,0,0,0,0.08,0,0
"D5 PUPA 22",0.04,0,0,0,0,0.08,0,0
"D5 PUPA 23",0.04,0,0,0,0,0.08,0,0
"D5 PUPA 24",0.04,0,0,0,0,0.08,0,0
"D5 PUPA 25",0.04,0,0,0,0,0.08,0,0
"D5 PUPA 3",0.04,0,0,0,0,0.08,0,0
"D5 PUPA 4",0.04,0,0,0,0,0.08,0,0
"D5 PUPA 5",0.04,0,0,0,0,0.08,0,0
"D5 PUPA 6",0.04,0,0,0,0,0.08,0,0
"D5 PUPA 7",0.04,0,0,0,0,0.08,0,0
"D5 PUPA 8",0.04,0,0,0,0,0.08,0,0
"D5 PUPA 9",0.04,0,0,0,0,0.08,0,0
"D6 PUPA 1",0.0333333333333333,0.133333333333333,0.0333333333333333,0,0,0.1,0.0333333333333333,0
"D6 PUPA 10",0.0333333333333333,0.133333333333333,0.0333333333333333,0,0,0.1,0.0333333333333333,0
"D6 PUPA 11",0.0333333333333333,0.133333333333333,0.0333333333333333,0,0,0.1,0.0333333333333333,0
"D6 PUPA 12",0.0333333333333333,0.133333333333333,0.0333333333333333,0,0,0.1,0.0333333333333333,0
"D6 PUPA 13",0.0333333333333333,0.133333333333333,0.0333333333333333,0,0,0.1,0.0333333333333333,0
"D6 PUPA 14",0.0333333333333333,0.133333333333333,0.0333333333333333,0,0,0.1,0.0333333333333333,0
"D6 PUPA 15",0.0333333333333333,0.133333333333333,0.0333333333333333,0,0,0.1,0.0333333333333333,0
"D6 PUPA 16",0.0333333333333333,0.133333333333333,0.0333333333333333,0,0,0.1,0.0333333333333333,0
"D6 PUPA 17",0.0333333333333333,0.133333333333333,0.0333333333333333,0,0,0.1,0.0333333333333333,0
