year,plot,subplot,focal,fruit,seed
2019,2,F5,CETE,10,3380
2019,2,F5,CHFU,4,336
2019,2,F5,CHMI,3,165
2019,2,F5,CHMI,6,330
2019,2,F5,CHMI,10,550
2019,2,F5,CHMI,14,770
2019,2,F5,CHMI,16,880
2019,2,F5,HOMA,1,12
2019,2,F5,LEMA,4,192
2019,2,F5,MESU,280,560
2019,2,F5,PAIN,1,1
2019,2,F5,SCLA,1,24
2019,2,F5,SOAS,8,360
2019,2,F6,CHFU,1,84
2019,2,F6,HOMA,1,12
2019,2,F6,LEMA,4,192
2019,2,F6,MESU,240,480
2019,2,F6,PAIN,1,1
2019,2,F6,PUPA,4,360
2019,3,A1,CHFU,4,336
2019,3,A1,HOMA,1,12
2019,3,A1,LEMA,2,96
2019,3,A1,PAIN,1,1
2019,3,A2,CHFU,6,504
2019,3,A2,HOMA,1,12
2019,3,A2,LEMA,2,96
2019,3,A2,PAIN,1,1
2019,3,A3,CHFU,7,588
2019,3,A3,HOMA,1,12
2019,3,A3,LEMA,2,96
2019,3,A3,PAIN,1,1
2019,3,A4,CHFU,2,168
2019,3,A4,HOMA,1,12
2019,3,A4,LEMA,1,48
2019,3,A4,PAIN,1,1
2019,3,A4,SASO,15,30
2019,3,A5,CHFU,0,0
2019,3,A5,HOMA,1,12
2019,3,A5,LEMA,1,48
2019,3,A5,PAIN,1,1
2019,3,A5,SASO,10,20
2019,3,A6,CHFU,1,84
2019,3,A6,HOMA,1,12
2019,3,A6,LEMA,1,48
2019,3,A6,PAIN,1,1
2019,3,A6,SASO,10,20
2019,3,B1,CHFU,2,168
2019,3,B1,HOMA,1,12
2019,3,B1,LEMA,2,96
2019,3,B1,PAIN,1,1
2019,3,B2,CHFU,2,168
2019,3,B2,HOMA,1,12
2019,3,B2,LEMA,1,48
2019,3,B2,PAIN,1,1
2019,3,B2,SASO,10,20
2019,3,B3,CHFU,1,84
2019,3,B3,HOMA,1,12
2019,3,B3,LEMA,1,48
2019,3,B3,PAIN,1,1
2019,3,B4,CHFU,1,84
2019,3,B4,HOMA,1,12
2019,3,B4,LEMA,1,48
2019,3,B4,PAIN,1,1
2019,3,B4,SASO,20,40
2019,3,B5,CHFU,1,84
2019,3,B5,HOMA,1,12
2019,3,B5,LEMA,2,96
2019,3,B5,PAIN,1,1
2019,3,B6,CHFU,2,168
2019,3,B6,HOMA,1,12
2019,3,B6,LEMA,1,48
2019,3,B6,MESU,50,100
2019,3,B6,MESU,60,120
2019,3,B6,MESU,80,160
2019,3,B6,PAIN,1,1
2019,3,B6,SASO,10,20
2019,3,C1,CHFU,0,0
2019,3,C1,HOMA,1,12
2019,3,C1,LEMA,1,48
2019,3,C1,PAIN,1,1
2019,3,C2,CHFU,0,0
2019,3,C2,HOMA,1,12
2019,3,C2,LEMA,1,48
2019,3,C2,PAIN,1,1
2019,3,C3,CHFU,1,84
2019,3,C3,HOMA,1,12
