node_to,layer_to,module_from,Plot,k.is,ks.bar,SD.ks,z,k.i,sum_aux_c,c
F2 LEMA,LEMA,1,7,0.03076923076923077,0.7107748312293767,2.077456680959578,-0.32732600717626087,0.07243589743589743,0.33087947372542875,0.6691205262745712
F3 LEMA,LEMA,3,7,0.03636363636363636,0.7718939393939394,2.2559839610550196,-0.3260352536754425,0.1087995337995338,0.22664357032426014,0.7733564296757398
F4 LEMA,LEMA,4,7,0.08333333333333333,0.6171768707482993,1.0799084308323699,-0.4943414850493305,0.22319347319347319,0.19154319683139162,0.8084568031686084
F5 LEMA,LEMA,3,7,0.07272727272727272,0.7718939393939394,2.2559839610550196,-0.3099165059399175,0.15606060606060607,0.2851352625129607,0.7148647374870394
Lagorina_sericea LEMA,LEMA,12,7,0.6666666666666666,0.8333333333333333,0.23570226039551587,-0.7071067811865472,0.6666666666666666,0,1
Lasioglossum_malachurum CETE,CETE,7,7,1.4375,1.0677083333333333,0.5377462291308461,0.6876694742506281,1.4375,0,1
Lasioglossum_malachurum LEMA,LEMA,7,7,1.5,1.0677083333333333,0.5377462291308461,0.803895300884537,1.725,0.008611636210880068,0.99138836378912
Lasioglossum_sp SPRU,SPRU,9,7,1,1,0,NaN,1,0,1
Malachius_bipustulatus LEMA,LEMA,13,7,0.2,0.6,0.565685424949238,-0.7071067811865475,0.2,0,1
Musca_sp BEMA,BEMA,5,7,1.5,1.25,0.28867513459481287,0.8660254037844387,1.5,0,1
Musca_sp MESU,MESU,5,7,1.5,1.25,0.28867513459481287,0.8660254037844387,1.5,0,1
Nemotelus_sp LEMA,LEMA,2,7,0.1,1.833996212121212,1.1520612517658997,-1.5051250178437234,0.1,0,1
Oedemeridae LEMA,LEMA,4,7,0.3333333333333333,0.6171768707482993,1.0799084308323699,-0.2628403754531165,0.4583333333333333,0.07438016528925621,0.9256198347107438
Psilothrix_viridicoerulea LEMA,LEMA,4,7,3.0285714285714285,0.6171768707482993,1.0799084308323699,2.232962063241305,6.161147186147186,0.07729417124720148,0.9227058287527985
Sphaerophoria_scripta BEMA,BEMA,2,7,2.375,1.833996212121212,1.1520612517658997,0.4695963752357158,2.875,0.030245746691871453,0.9697542533081286
Sphaerophoria_scripta LEMA,LEMA,2,7,3.4,1.833996212121212,1.1520612517658997,1.3593060138759026,4.614285714285714,0.018135071637693154,0.9818649283623069
Sphaerophoria_scripta MESU,MESU,2,7,2.2875,1.833996212121212,1.1520612517658997,0.39364555242496824,2.2875,0,1
Sphaerophoria_scripta SPRU,SPRU,2,7,3.1458333333333335,1.833996212121212,1.1520612517658997,1.1386869571399216,3.1458333333333335,0,1
Ulidiidae CHFU,CHFU,6,7,4,1,1.6792855623746665,1.786474002526241,4,0,1
A1 CHFU,CHFU,2,8,0.03278688524590164,0.9578045126035608,4.228403763591607,-0.21876284268840707,0.03278688524590164,0,1
A1 LEMA,LEMA,1,8,0.0196078431372549,1.0726939237233355,3.396586123640746,-0.3100425080513768,0.0196078431372549,0,1
A2 CHFU,CHFU,2,8,0.04918032786885246,0.9578045126035608,4.228403763591607,-0.21488586131683005,1.0491803278688525,0.908447265625,0.091552734375
A2 PUPA,PUPA,7,8,1,1.0199675324675326,0.8938485100363126,-0.02233883285963233,1,0,1
A3 CHFU,CHFU,2,8,0.06557377049180328,0.9578045126035608,4.228403763591607,-0.21100887994525305,0.06557377049180328,0,1
A4 CHFU,CHFU,2,8,0.06557377049180328,0.9578045126035608,4.228403763591607,-0.21100887994525305,0.06557377049180328,0,1
A5 CHFU,CHFU,2,8,1.0327868852459017,0.9578045126035608,4.228403763591607,0.017733020977791114,1.0327868852459017,0,1
