Line,Plot,Subplot,Plant,ID,type_seed_per_fruit,Seeds_GF,visits_GF,Visits_tot,homo_motif,hete_motif,Real_PR_Multi,Real_PR_Layer,StrengthIn,StrengthOut,DegreeIn,DegreeOut,Delta,Ratio
1,2,F1,LEMA,Sarcophaga_sp,Individual,57,2,2,2,0,0.018849786140395144,0.014023508216459573,2.526143790849673,1,5,5,0.004826277923935571,1.3441562446029665
1,2,F1,LEMA,Ulidiidae,Individual,57,1,1,1,0,0.018849786140395144,0.014023508216459573,2.526143790849673,1,5,5,0.004826277923935571,1.3441562446029665
1,2,F2,LEMA,Anastoechus_sp,Individual,58.5,1,1,3,4,0.016558639688470128,0.011424957468778085,1.6105169340463457,1,4,4,0.005133682219692043,1.4493392849576268
1,2,F2,LEMA,Brassicogethes_sp,Individual,58.5,3,3,48,0,0.016558639688470128,0.011424957468778085,1.6105169340463457,1,4,4,0.005133682219692043,1.4493392849576268
1,2,F2,LEMA,Osmia_ligurica,Individual,58.5,4,4,0,0,0.016558639688470128,0.011424957468778085,1.6105169340463457,1,4,4,0.005133682219692043,1.4493392849576268
1,2,F2,LEMA,Ulidiidae,Individual,58.5,1,1,1,0,0.016558639688470128,0.011424957468778085,1.6105169340463457,1,4,4,0.005133682219692043,1.4493392849576268
1,2,F3,LEMA,Brassicogethes_sp,Individual,77,4,4,48,0,0.005982919027541919,0.005545035660977071,0.05178481649069884,1,2,2,4.3788336656484794e-4,1.0789685393092117
1,2,F3,LEMA,Psilothrix_viridicoerulea,Individual,77,1,1,19,0,0.005982919027541919,0.005545035660977071,0.05178481649069884,1,2,2,4.3788336656484794e-4,1.0789685393092117
1,2,F4,LEMA,Brassicogethes_sp,Individual,63,6,6,53,0,0.01584730514835763,0.014869316311884416,2.290497737556561,1,5,5,9.779888364732144e-4,1.0657722800403102
1,2,F4,LEMA,Cerambycidae,Individual,63,1,1,0,0,0.01584730514835763,0.014869316311884416,2.290497737556561,1,5,5,9.779888364732144e-4,1.0657722800403102
1,2,F4,LEMA,Eristalis_sp,Individual,63,1,1,0,0,0.01584730514835763,0.014869316311884416,2.290497737556561,1,5,5,9.779888364732144e-4,1.0657722800403102
1,2,F4,LEMA,Musca_sp,Individual,63,3,3,6,0,0.01584730514835763,0.014869316311884416,2.290497737556561,1,5,5,9.779888364732144e-4,1.0657722800403102
