Plot,G_F,Subplot_Plant_Label,Visits_tot,homo_motif,hete_motif
9,Hoverflies,B4 LEMA,1,10,18
9,Flower_beetles,B5 LEMA,7,36,4
9,Small_flies,B5 LEMA,2,10,32
9,Flower_beetles,B6 LEMA,4,36,4
9,Hoverflies,C1 CHFU,1,16,12
9,Hoverflies,C3 CHFU,2,16,12
9,Small_flies,C3 LEMA,2,10,32
9,Flower_beetles,C4 LEMA,3,36,4
9,Hoverflies,C4 LEMA,1,10,18
9,Hoverflies,C5 CHFU,1,16,12
9,Flower_beetles,C5 LEMA,3,36,4
9,Hoverflies,C5 LEMA,1,10,18
9,Small_beetles,C5 LEMA,1,6,2
9,Hoverflies,C6 CHFU,1,16,12
9,Small_flies,C6 CHFU,1,28,14
9,Hoverflies,D2 CHFU,1,16,12
9,Flower_beetles,D2 LEMA,3,36,4
9,Hoverflies,D2 LEMA,1,10,18
9,Hoverflies,D3 CHFU,1,16,12
9,Flower_beetles,D3 LEMA,3,36,4
9,Hoverflies,D4 CHFU,1,16,12
9,Small_flies,D4 CHFU,4,28,14
9,Small_flies,D5 LEMA,1,10,32
9,Flower_beetles,D5 ME,1,0,40
9,House_flies,D5 ME,2,6,2
9,Flower_beetles,D6 LEMA,1,36,4
9,Small_flies,D6 ME,1,0,42
9,Small_flies,E1 CHFU,4,28,14
9,Flower_beetles,E1 LEMA,2,36,4
9,Flower_beetles,E2 LEMA,1,36,4
9,Hoverflies,E2 LEMA,1,10,18
9,Small_beetles,E2 LEMA,1,6,2
9,Flower_beetles,E3 CHFU,1,0,40
9,Small_flies,E3 CHFU,1,28,14
9,Flower_beetles,E3 LEMA,7,36,4
9,Hoverflies,E3 LEMA,4,10,18
9,Small_flies,E3 LEMA,2,10,32
9,House_flies,E3 ME,1,6,2
9,House_flies,E4 CHFU,1,0,8
9,Hoverflies,E4 CHFU,1,16,12
9,Small_flies,E4 CHFU,1,28,14
9,Bees,E4 LEMA,1,0,2
9,Bees,E5 CHFU,1,0,2
9,Flower_beetles,E5 LEMA,5,36,4
9,Flower_beetles,E6 LEMA,2,36,4
9,House_flies,E6 ME,1,6,2
9,Small_flies,F1 CHFU,5,28,14
9,Small_flies,F1 LEMA,3,10,32
9,Flower_beetles,F2 LEMA,5,36,4
9,Small_flies,F4 CHFU,3,28,14
9,House_flies,F4 ME,1,6,2
9,Small_flies,F5 CHFU,2,28,14
9,Flower_beetles,F5 LEMA,4,36,4
9,Small_beetles,F5 LEMA,1,6,2
9,Small_flies,F6 CHFU,5,28,14
9,Flower_beetles,F6 LEMA,3,36,4
9,Small_beetles,F6 LEMA,2,6,2
