Line,ID,Plot,Subplot,Plant_Simple,Visits_tot,homo_motif,hete_motif,Week
1,Psilothrix_viridicoerulea,1,B2,LEMA,1,13,0,12
1,Sphaerophoria_scripta,1,B2,LEMA,1,3,0,12
1,Dilophus_sp.,1,C2,LEMA,1,13,0,12
1,Andrena_cinerea,1,C4,LEMA,2,3,0,12
1,Dilophus_sp.,1,C5,LEMA,1,13,0,12
1,Diptera,1,C5,LEMA,1,0,0,12
1,Psilothrix_viridicoerulea,1,D2,LEMA,1,13,0,12
1,Dilophus_sp.,1,D3,LEMA,1,13,0,12
1,Anthaxia_semicuprea,1,D5,LEMA,1,0,0,12
1,Dilophus_sp.,1,D5,LEMA,1,13,0,12
1,Dilophus_sp.,1,E2,LEMA,1,13,0,12
1,Psilothrix_viridicoerulea,1,E2,LEMA,1,13,0,12
1,Psilothrix_viridicoerulea,1,E3,LEMA,1,13,0,12
1,Psilothrix_viridicoerulea,1,E4,LEMA,3,13,0,12
1,Dilophus_sp.,1,F1,LEMA,1,13,0,12
1,Scaeva_sp.,1,F1,LEMA,1,6,0,12
1,Sphaerophoria_scripta,1,F1,LEMA,2,3,0,12
1,Dilophus_sp.,1,F2,LEMA,1,13,0,12
1,Dilophus_sp.,1,F3,LEMA,1,13,0,12
1,Scaeva_sp.,1,F3,LEMA,1,6,0,12
1,Mordellidae,1,F4,LEMA,1,0,0,12
1,Nemotelus_sp.,2,A4,LEMA,2,5,0,12
1,Meligethes_sp.,2,B2,LEMA,1,0,0,12
1,Melyridae,2,B4,LEMA,1,1,0,12
1,Psilothrix_viridicoerulea,2,B4,LEMA,1,13,0,12
1,Calliphoridae,2,B5,ME,2,1,0,12
1,Eupeodes_corollae,2,C1,LEMA,1,2,0,12
1,Nemotelus_sp.,2,C3,LEMA,1,5,0,12
1,Eupeodes_corollae,2,C5,LEMA,1,2,0,12
1,Calliphoridae,2,D3,ME,2,1,0,12
1,Nemotelus_sp.,2,D4,LEMA,2,5,0,12
1,Eupeodes_corollae,2,D5,LEMA,1,2,0,12
1,Nemotelus_sp.,2,D6,LEMA,1,5,0,12
1,Andrena_cinerea,2,E4,LEMA,1,3,0,12
1,Psilothrix_viridicoerulea,2,E4,LEMA,2,13,0,12
1,Cantharidae,2,E4,ME,1,0,0,12
1,Nemotelus_sp.,2,E5,LEMA,1,5,0,12
1,Andrena_cinerea,2,E6,LEMA,1,3,0,12
1,Melyridae,2,F2,LEMA,1,1,0,12
1,Nemotelus_sp.,2,F3,LEMA,1,5,0,12
1,Psilothrix_viridicoerulea,2,F4,LEMA,1,13,0,12
1,Sphaerophoria_scripta,3,B1,LEMA,1,3,0,12
1,Scaeva_sp.,3,B3,LEMA,1,6,0,12
1,Andrena_cinerea,3,C3,LEMA,1,3,0,12
1,Scaeva_sp.,3,C4,LEMA,1,6,0,12
1,Dilophus_sp.,3,D2,LEMA,2,13,0,12
1,Psilothrix_viridicoerulea,3,D2,LEMA,1,13,0,12
1,Scaeva_sp.,3,D2,LEMA,1,6,0,12
1,Dilophus_sp.,3,D3,LEMA,1,13,0,12
1,Psilothrix_viridicoerulea,3,D3,LEMA,1,13,0,12
1,Scaeva_sp.,3,D3,LEMA,1,6,0,12
1,Dilophus_sp.,3,D5,LEMA,1,13,0,12
1,Psilothrix_viridicoerulea,3,D5,LEMA,2,13,0,12
1,Chrysotoxum_sp.,3,D6,LEMA,1,0,0,12
1,Scaeva_sp.,3,D6,LEMA,2,6,0,12
1,Psilothrix_viridicoerulea,3,E1,LEMA,1,13,0,12
1,Psilothrix_viridicoerulea,3,E2,LEMA,1,13,0,12
1,Dilophus_sp.,3,E4,LEMA,1,13,0,12
1,Sphaerophoria_scripta,3,F1,LEMA,1,3,0,12
1,Dilophus_sp.,3,F5,LEMA,1,13,0,12
1,Psilothrix_viridicoerulea,3,F5,LEMA,1,13,0,12
2,Psilothrix_viridicoerulea,4,A1,LEMA,1,6,0,12
2,Meligethes_sp.,4,A2,LEMA,1,6,0,12
2,Dilophus_sp.,4,B2,LEMA,1,15,0,12
2,Andrena_cinerea,4,B4,LEMA,1,1,0,12
2,Dilophus_sp.,4,C1,LEMA,1,15,0,12
2,Diptera,4,C2,CHFU,4,1,1,12
2,Psilothrix_viridicoerulea,4,C2,LEMA,1,6,0,12
2,Psilothrix_viridicoerulea,4,C3,LEMA,1,6,0,12
2,Andrena_cinerea,4,C4,LEMA,1,1,0,12
2,Meligethes_sp.,4,C4,LEMA,1,6,0,12
2,Dilophus_sp.,4,C6,LEMA,1,15,0,12
2,Psilothrix_viridicoerulea,4,D2,LEMA,1,6,0,12
2,Meligethes_sp.,4,E1,LEMA,1,6,0,12
2,Dilophus_sp.,6,A1,LEMA,2,15,0,12
2,Psilothrix_viridicoerulea,6,A1,LEMA,1,6,0,12
2,Dilophus_sp.,6,A3,LEMA,1,15,0,12
2,Dilophus_sp.,6,A6,LEMA,1,15,0,12
2,Diptera,6,B1,LEMA,1,0,2,12
2,Meligethes_sp.,6,B1,LEMA,1,6,0,12
2,Diptera,6,B3,CHFU,4,1,1,12
2,Dilophus_sp.,6,B3,LEMA,1,15,0,12
2,Eristalis_sp.,6,B3,LEMA,4,0,0,12
2,Psilothrix_viridicoerulea,6,B3,LEMA,1,6,0,12
